MONTH,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY
May,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,6.7,,
January,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,5.9,150.0,
December,CHILE,West Coast of South America,Earthquake,Probable Tsunami,7.0,100.0,0.0
April,JAPAN,Japan,Earthquake,Definite Tsunami,7.2,40.0,-1.0
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,33.0,1.0
May,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,6.9,12.0,
March,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake and Landslide,Probable Tsunami,7.1,12.0,3.0
November,USA,Alaska (including Aleutian Islands),Earthquake,Very Doubtful Tsunami,7.0,40.0,
September,PERU,West Coast of South America,Earthquake,Questionable Tsunami,7.0,70.0,
June,CANADA,West Coast of North and Central America,Earthquake and Landslide,Definite Tsunami,7.3,,2.0
December,COSTA RICA,West Coast of North and Central America,Earthquake,Definite Tsunami,6.9,,-4.0
February,USA,West Coast of North and Central America,Earthquake,Event that only caused a seiche or disturbance in an inland river,6.6,,
January,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.4,15.0,-2.5
October,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.0,33.0,
August,CUBA,Caribbean Sea,Earthquake,Questionable Tsunami,5.6,,
May,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,6.5,110.0,0.5
April,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.4,100.0,
March,JAPAN,Japan,Earthquake,Definite Tsunami,6.6,20.0,0.0
November,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,10.0,-2.5
November,JAPAN,Japan,Earthquake,Definite Tsunami,6.0,60.0,-1.5
December,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Questionable Tsunami,7.2,46.0,0.5
December,USA,Alaska (including Aleutian Islands),Earthquake,Very Doubtful Tsunami,6.5,33.0,
November,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,60.0,-3.5
April,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,6.5,200.0,0.5
October,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.3,75.0,
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,50.0,-3.0
September,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,7.4,,
February,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Very Doubtful Tsunami,,,
December,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,6.0,33.0,0.5
November,MEXICO,West Coast of North and Central America,Earthquake,Very Doubtful Tsunami,7.0,80.0,3.0
November,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.0,33.0,
February,CANADA,West Coast of North and Central America,Earthquake,Questionable Tsunami,5.8,33.0,0.0
December,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.5,35.0,
November,CHILE,West Coast of South America,Earthquake,Probable Tsunami,7.1,33.0,2.0
August,JAPAN,Japan,Earthquake,Definite Tsunami,6.9,10.0,
September,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.9,35.0,1.5
March,USA,"Hawaii, Johnston Atoll, Midway I",Earthquake,Very Doubtful Tsunami,,,
February,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Probable Tsunami,6.0,,1.0
January,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,0.0
May,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake and Landslide,Definite Tsunami,6.5,,1.5
April,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake and Landslide,Definite Tsunami,8.3,33.0,0.5
March,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Event that only caused a seiche or disturbance in an inland river,6.8,15.0,
November,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Very Doubtful Tsunami,7.1,149.0,
November,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.1,145.0,
July,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,5.5,,1.0
June,JAPAN,Japan,Earthquake,Definite Tsunami,7.3,40.0,-1.5
March,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,7.2,22.0,0.5
January,USA,West Coast of North and Central America,Earthquake,Event that only caused a seiche or disturbance in an inland river,7.2,,
December,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Probable Tsunami,6.3,,0.0
July,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,,,0.0
March,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Very Doubtful Tsunami,,,
September,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Probable Tsunami,5.7,33.0,1.0
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.7,40.0,
July,CHILE,West Coast of South America,Earthquake,Definite Tsunami,7.3,60.0,0.5
November,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,6.5,,
October,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,10.0,-2.0
October,JAPAN,Japan,Earthquake,Definite Tsunami,7.2,10.0,-1.0
July,JAPAN,Japan,Earthquake,Definite Tsunami,6.5,,
July,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.2,35.0,
October,ECUADOR,West Coast of South America,Earthquake,Probable Tsunami,6.9,33.0,1.5
June,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,20.0,
November,VENEZUELA,Caribbean Sea,Earthquake,Very Doubtful Tsunami,,,
September,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Questionable Tsunami,6.8,,0.0
September,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Questionable Tsunami,6.2,17.0,0.0
March,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.1,33.0,
February,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Very Doubtful Tsunami,7.1,,0.0
December,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,6.0,,0.5
September,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,6.6,35.0,
September,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Very Doubtful Tsunami,,,0.0
July,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,6.5,100.0,
June,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,6.0,33.0,
May,CANADA,West Coast of North and Central America,Earthquake,Probable Tsunami,7.0,33.0,0.0
May,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,30.0,
November,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.1,33.0,
July,PERU,West Coast of South America,Earthquake,Questionable Tsunami,7.0,70.0,
May,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Questionable Tsunami,,,0.5
May,TURKEY,Mediterranean Sea,Earthquake,Questionable Tsunami,4.3,,2.0
April,PERU,West Coast of South America,Earthquake,Event that only caused a seiche or disturbance in an inland river,6.8,,
December,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,6.9,130.0,
April,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,30.0,1.0
February,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,7.2,15.0,3.0
August,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.4,30.0,
April,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Probable Tsunami,6.1,100.0,1.5
December,CHILE,West Coast of South America,Earthquake,Definite Tsunami,7.8,47.0,0.5
October,PERU,West Coast of South America,Earthquake,Definite Tsunami,8.1,38.0,1.5
June,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.1,31.0,1.0
March,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,7.6,48.0,0.0
August,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.8,,
March,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.6,20.0,-1.0
February,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,8.7,36.0,2.5
November,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.6,45.0,
April,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake and Landslide,Probable Tsunami,7.0,100.0,0.0
October,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,7.9,28.0,3.0
October,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,8.5,13.0,2.5
September,PERU,West Coast of South America,Earthquake,Questionable Tsunami,7.0,75.0,
February,TAIWAN,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,7.3,47.0,-2.0
May,MEXICO,West Coast of North and Central America,Earthquake,Probable Tsunami,7.2,33.0,
May,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.0,40.0,0.0
February,JAPAN,Japan,Earthquake,Definite Tsunami,7.6,74.0,-0.5
May,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.2,35.0,-1.0
February,MOROCCO,West Coast of Africa,Earthquake,Very Doubtful Tsunami,6.8,,
January,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.8,160.0,3.0
August,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.3,33.0,
May,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,8.2,60.0,1.0
November,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,8.3,40.0,2.5
July,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.9,25.0,0.5
June,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,7.3,33.0,
November,GREECE,Mediterranean Sea,Earthquake,Questionable Tsunami,5.8,,2.0
December,PERU,West Coast of South America,Earthquake,Definite Tsunami,7.4,30.0,0.5
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,60.0,1.5
May,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.6,60.0,
March,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,7.8,25.0,
March,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,20.0,-2.0
August,USA,"Hawaii, Johnston Atoll, Midway I",Earthquake,Definite Tsunami,6.9,12.0,0.5
December,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.5,50.0,
December,PERU,West Coast of South America,Earthquake,Questionable Tsunami,7.0,80.0,0.0
October,COSTA RICA,West Coast of North and Central America,Earthquake,Definite Tsunami,7.7,33.0,-2.0
August,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Event that only caused a seiche or disturbance in an inland river,8.6,33.0,
August,VENEZUELA,Caribbean Sea,Earthquake,Questionable Tsunami,6.8,,
December,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.8,33.0,
August,CANADA,West Coast of North and Central America,Earthquake and Landslide,Definite Tsunami,8.1,25.0,
July,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.5,15.0,2.0
April,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.3,70.0,
April,USA,West Coast of North and Central America,Earthquake and Landslide,Probable Tsunami,7.0,70.0,
December,MEXICO,West Coast of North and Central America,Earthquake,Questionable Tsunami,6.9,,1.5
September,TONGA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Definite Tsunami,7.8,33.0,1.5
April,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,6.5,15.0,4.0
February,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,7.1,40.0,4.0
October,GREECE,Mediterranean Sea,Earthquake and Landslide,Probable Tsunami,6.9,28.0,2.0
August,CHILE,West Coast of South America,Earthquake,Questionable Tsunami,7.9,60.0,9.0
January,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,33.0,-0.5
April,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.2,35.0,
August,PERU,West Coast of South America,Earthquake and Landslide,Definite Tsunami,8.2,60.0,1.0
May,COLOMBIA,West Coast of South America,Earthquake,Very Doubtful Tsunami,5.8,130.0,1.0
December,COSTA RICA,West Coast of North and Central America,Earthquake,Definite Tsunami,7.6,,-3.0
June,INDIA,Indian Ocean (including west coast of Australia),Earthquake,Definite Tsunami,8.0,20.0,
May,PERU,West Coast of South America,Earthquake,Questionable Tsunami,8.2,60.0,1.5
December,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,8.0,150.0,
June,GHANA,West Coast of Africa,Earthquake,Questionable Tsunami,6.4,13.0,
May,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,,0.0
January,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Questionable Tsunami,7.7,35.0,1.0
January,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,8.3,60.0,
November,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,8.2,25.0,
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,0.0,-0.5
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.6,30.0,-0.5
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.7,30.0,-0.5
June,JAPAN,Japan,Earthquake,Definite Tsunami,7.6,35.0,0.0
May,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.5,,
February,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,8.5,,1.5
August,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,7.5,60.0,1.0
November,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Questionable Tsunami,7.3,,2.0
August,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Questionable Tsunami,7.3,,
April,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,7.7,60.0,2.0
December,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Very Doubtful Tsunami,7.9,33.0,
September,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.8,30.0,
May,PAKISTAN,Indian Ocean (including west coast of Australia),Earthquake,Event that only caused a seiche or disturbance in an inland river,7.5,,
July,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.8,35.0,
July,PANAMA,West Coast of North and Central America,Earthquake,Probable Tsunami,7.7,60.0,1.5
February,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Definite Tsunami,7.9,55.0,0.5
January,NEPAL,Indian Ocean (including west coast of Australia),Earthquake,Event that only caused a seiche or disturbance in an inland river,8.0,35.0,
April,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.4,15.0,
March,USA,West Coast of North and Central America,Meteorological,Very Doubtful Tsunami,6.3,16.0,-3.0
February,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.6,40.0,
September,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.9,35.0,3.0
June,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.8,15.0,0.5
February,CUBA,Caribbean Sea,Earthquake,Questionable Tsunami,6.7,,
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.1,40.0,
March,JAPAN,Japan,Earthquake,Definite Tsunami,7.6,60.0,-1.0
February,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake and Landslide,Definite Tsunami,7.7,35.0,0.0
June,NEW ZEALAND,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake and Landslide,Questionable Tsunami,7.5,,1.5
June,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,7.2,,0.5
March,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,7.8,50.0,
January,VENEZUELA,Caribbean Sea,Earthquake,Definite Tsunami,6.9,,
December,CHILE,West Coast of South America,Earthquake,Probable Tsunami,7.6,25.0,0.5
June,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.7,35.0,1.0
June,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,7.0,33.0,0.5
April,GREECE,Mediterranean Sea,Earthquake,Probable Tsunami,6.0,29.0,3.0
March,GREECE,Mediterranean Sea,Earthquake,Very Doubtful Tsunami,6.5,,2.0
March,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,7.7,60.0,
November,USA,West Coast of North and Central America,Earthquake,Definite Tsunami,7.3,10.0,1.0
March,JAPAN,Japan,Earthquake and Landslide,Definite Tsunami,7.6,10.0,0.5
June,INDONESIA,Indian Ocean (including west coast of Australia),Earthquake,Event that only caused a seiche or disturbance in an inland river,5.8,,
May,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,6.3,,0.5
August,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Questionable Tsunami,7.3,33.0,0.5
June,AUSTRALIA,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake,Probable Tsunami,7.8,,
September,JAPAN,Japan,Earthquake,Definite Tsunami,7.7,20.0,-1.5
February,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,8.3,19.0,
February,GREECE,Mediterranean Sea,Landslide,Definite Tsunami,,,5.0
December,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Volcano,Very Doubtful Tsunami,,,1.0
May,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Volcano,Definite Tsunami,,,1.5
September,FIJI,"E Coast Australia, New Zealand, South Pacific Is.",Earthquake and Landslide,Definite Tsunami,6.4,33.0,1.0
August,USA,West Coast of North and Central America,Earthquake and Landslide,Probable Tsunami,5.2,15.0,-0.5
July,GREECE,Mediterranean Sea,Earthquake and Landslide,Very Doubtful Tsunami,6.3,18.0,2.0
August,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,10.0,1.5
May,JAPAN,Japan,Earthquake,Definite Tsunami,6.1,,
December,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,6.5,33.0,1.5
April,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,5.5,33.0,1.0
June,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,40.0,2.0
July,USA,Alaska (including Aleutian Islands),Earthquake and Landslide,Definite Tsunami,7.8,35.0,5.0
January,ECUADOR,West Coast of South America,Earthquake,Definite Tsunami,7.6,60.0,2.0
March,USA,Alaska (including Aleutian Islands),Earthquake,Definite Tsunami,8.6,33.0,3.0
July,GREECE,Mediterranean Sea,Earthquake,Definite Tsunami,7.8,20.0,5.0
April,CHILE,West Coast of South America,Earthquake,Definite Tsunami,7.1,30.0,1.0
March,JAPAN,Japan,Earthquake,Definite Tsunami,8.1,45.0,2.0
October,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Probable Tsunami,7.6,,2.0
December,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Very Doubtful Tsunami,7.2,33.0,1.5
January,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,8.3,33.0,1.5
November,JAPAN,Japan,Earthquake,Definite Tsunami,7.4,10.0,0.0
April,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,7.9,35.0,1.5
May,INDONESIA,Indonesia (Pacific Ocean) and Malaysia,Earthquake,Definite Tsunami,7.6,,
June,MEXICO,West Coast of North and Central America,Earthquake,Definite Tsunami,8.1,35.0,2.0
October,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.8,35.0,2.5
November,CANADA,"East Coast USA and Canada, St Pierre and Miquelon",Earthquake and Landslide,Definite Tsunami,7.3,20.0,
December,PHILIPPINES,"China, North and South Korea, Philippines, Taiwan",Earthquake,Probable Tsunami,7.3,,1.0
